,filename,noise,sigma,alpha,Xi,width,space,psd_0f_orig,psd_0f_predict,mse_completeF,error_cF,lf_mse,error_lf,mf_mse,error_mf,hf_mse,error_hf
0,nim_1.6e-09_0.1_1e-08_30_30_17_2.tiff,2,1.6,0.1,10,30,30,24670.917235003784,24906.533188979807,0.010600059247863445,0.010600059247863445,15846.94394230486,0.6423329862993815,14.948845137628867,1.000166100534711,4.4595124670809625,0.42302285304625026
1,nim_1.6e-09_0.1_1e-08_30_30_17_3.tiff,3,1.6,0.1,10,30,30,24670.917235003784,24405.226575953813,0.020606486731262506,0.020606486731262506,29341.39354837517,1.1893110121882613,8.247895787948172,0.5518329805346596,3.472168509934459,0.3293648442900869
2,nim_1.6e-09_0.1_1e-08_30_30_17_4.tiff,4,1.6,0.1,10,30,30,24670.917235003784,24467.539079587656,0.012702630982998094,0.012702630982998094,17884.02996763054,0.7249033263447612,14.711630940013688,0.9842950685696372,2.3552458253789568,0.22341518630829932
3,nim_1.6e-09_0.1_1e-08_30_30_17_5.tiff,5,1.6,0.1,10,30,30,24670.917235003784,24254.24906668295,0.05156960183604067,0.05156960183604067,73646.80351173971,2.985166818493784,9.237213235739423,0.6180241655284507,2.2055903564271087,0.2092190866410583
4,nim_1.6e-09_0.1_1e-08_30_30_17_10.tiff,10,1.6,0.1,10,30,30,24670.917235003784,24411.93945420963,0.017784271768453767,0.017784271768453767,25742.126599800813,1.0434199245448874,3.4760566417632868,0.23256873588708676,1.0748406382587223,0.10195781640316301
5,nim_1.6e-09_0.1_1e-08_30_30_17_20.tiff,20,1.6,0.1,10,30,30,24670.917235003784,24629.38933706847,0.0005347926377394587,0.0005347926377394587,740.2391843789562,0.030004526273902953,0.718409314021005,0.04806582953913561,0.3651489930946529,0.034637501293268896
6,nim_1.6e-09_0.1_1e-08_30_30_17_30.tiff,30,1.6,0.1,10,30,30,24670.917235003784,24675.020055249217,3.174394627213152e-05,3.174394627213152e-05,30.386159290063553,0.00123165908266073,0.5297982970582508,0.035446637647269776,0.140378330697567,0.013316083853539478
7,nim_1.6e-09_0.1_1e-08_30_30_17_50.tiff,50,1.6,0.1,10,30,30,24670.917235003784,24711.033817012907,0.0003884167906752427,0.0003884167906752427,566.4071543250691,0.022958495986579487,0.1971046442218098,0.013187465760306771,0.07075108711144869,0.006711345006195145
8,nim_1.6e-09_0.1_1e-08_30_30_17_100.tiff,100,1.6,0.1,10,30,30,24670.917235003784,24724.887830316948,0.0006838986632709493,0.0006838986632709493,1007.0592073841811,0.040819690560808884,0.08573486934171609,0.005736169527471495,0.040716344546925964,0.003862293101095182
9,nim_1.6e-09_0.1_1e-08_30_30_17_200.tiff,200,1.6,0.1,10,30,30,24670.917235003784,24707.952801433275,0.00029220803701444237,0.00029220803701444237,435.55932296633847,0.017654768114918517,0.057214743253965465,0.0038280045131626806,0.03908373088346465,0.003707425748455677
10,nim_1.6e-09_0.1_1e-08_30_60_18_2.tiff,2,1.6,0.1,10,30,60,19609.631330744665,18745.428810443467,0.24204814718214968,0.24204814718214968,279952.77149241924,14.276289378959385,19.058192901404215,0.621178985622827,5.765051719326171,0.4871434662489615
11,nim_1.6e-09_0.1_1e-08_30_60_18_3.tiff,3,1.6,0.1,10,30,60,19609.631330744665,18925.73501085299,0.15378849156919905,0.15378849156919905,177524.3527254405,9.052916382324415,12.9202622335137,0.42112048239387995,3.658676730478225,0.30915602342209314
12,nim_1.6e-09_0.1_1e-08_30_60_18_4.tiff,4,1.6,0.1,10,30,60,19609.631330744665,19032.46986255483,0.08833852854231793,0.08833852854231793,105132.54906246206,5.361271065694722,9.751507061436458,0.3178387004504829,3.1188187726522725,0.26353834475048554
13,nim_1.6e-09_0.1_1e-08_30_60_18_5.tiff,5,1.6,0.1,10,30,60,19609.631330744665,19212.983402931535,0.05268025710940777,0.05268025710940777,60651.21189962506,3.092929738282941,2.1020939132631478,0.06851523496902537,2.1362990675205444,0.18051600980572283
14,nim_1.6e-09_0.1_1e-08_30_60_18_10.tiff,10,1.6,0.1,10,30,60,19609.631330744665,19372.04818124781,0.0194822172151827,0.0194822172151827,22324.753582776222,1.1384586077237817,2.5949370994858385,0.08457886870768777,0.8393212079739539,0.07092214648795672
15,nim_1.6e-09_0.1_1e-08_30_60_18_20.tiff,20,1.6,0.1,10,30,60,19609.631330744665,19528.940700435694,0.001791082900317351,0.001791082900317351,2098.7565137466486,0.10702682158313424,0.6499749724069063,0.021185156228017744,0.466332031061229,0.03940478127412837
16,nim_1.6e-09_0.1_1e-08_30_60_18_30.tiff,30,1.6,0.1,10,30,60,19609.631330744665,19611.475836264606,2.0496798123596616e-05,2.0496798123596616e-05,10.434197536686813,0.0005320955483914537,0.46585657179941814,0.015184037343580913,0.14856279048057341,0.012553468075180364
17,nim_1.6e-09_0.1_1e-08_30_60_18_50.tiff,50,1.6,0.1,10,30,60,19609.631330744665,19572.051729512445,0.0005958132764223945,0.0005958132764223945,662.27042485579,0.03377271166834531,0.23919558153227385,0.007796293671197568,0.10658681649804967,0.009006523058802805
18,nim_1.6e-09_0.1_1e-08_30_60_18_100.tiff,100,1.6,0.1,10,30,60,19609.631330744665,19632.17693453807,0.00018633584578589313,0.00018633584578589313,210.35238401770175,0.01072699330598347,0.08107780820930466,0.002642634111247093,0.034356577954408225,0.002903110550952573
